,Sector,Year,FDI(in USD),Exchange_rate,FDI(in INR)
0,METALLURGICAL INDUSTRIES,2000-01,22.69,44.94772745901639,1019.863936045082
1,MINING,2000-01,1.32,44.94772745901639,59.33100024590164
2,POWER,2000-01,89.42,44.94772745901639,4019.2257893852457
3,NON-CONVENTIONAL ENERGY,2000-01,0.0,44.94772745901639,0.0
4,COAL PRODUCTION,2000-01,0.0,44.94772745901639,0.0
5,PETROLEUM & NATURAL GAS,2000-01,9.35,44.94772745901639,420.2612517418032
6,BOILERS AND STEAM GENERATING PLANTS,2000-01,0.0,44.94772745901639,0.0
7,PRIME MOVER,2000-01,0.0,44.94772745901639,0.0
8,ELECTRICAL EQUIPMENTS,2000-01,79.76,44.94772745901639,3585.0307421311477
9,COMPUTER SOFTWARE & HARDWARE,2000-01,228.39,44.94772745901639,10265.611474364752
10,ELECTRONICS,2000-01,8.34,44.94772745901639,374.8640470081967
11,TELECOMMUNICATIONS,2000-01,177.69,44.94772745901639,7986.761692192623
12,INFORMATION & BROADCASTING,2000-01,81.5,44.94772745901639,3663.2397879098357
13,AUTOMOBILE INDUSTRY,2000-01,195.33,44.94772745901639,8779.639604569673
14,AIR TRANSPORT,2000-01,0.0,44.94772745901639,0.0
15,SEA TRANSPORT,2000-01,2.41,44.94772745901639,108.32402317622952
16,PORTS,2000-01,0.0,44.94772745901639,0.0
17,RAILWAY RELATED COMPONENTS,2000-01,0.0,44.94772745901639,0.0
18,INDUSTRIAL MACHINERY,2000-01,5.48,44.94772745901639,246.31354647540985
19,MACHINE TOOLS,2000-01,1.42,44.94772745901639,63.82577299180327
20,AGRICULTURAL MACHINERY,2000-01,3.64,44.94772745901639,163.60972795081966
21,EARTH-MOVING MACHINERY,2000-01,0.0,44.94772745901639,0.0
22,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2000-01,44.5,44.94772745901639,2000.1738719262294
23,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2000-01,12.2,44.94772745901639,548.362275
24,MEDICAL AND SURGICAL APPLIANCES,2000-01,5.42,44.94772745901639,243.61668282786883
25,INDUSTRIAL INSTRUMENTS,2000-01,1.01,44.94772745901639,45.39720473360656
26,SCIENTIFIC INSTRUMENTS,2000-01,8.07,44.94772745901639,362.7281605942623
27,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2000-01,0.0,44.94772745901639,0.0
28,FERTILIZERS,2000-01,0.0,44.94772745901639,0.0
29,CHEMICALS,2000-01,111.14,44.94772745901639,4995.490429795082
30,PHOTOGRAPHIC RAW FILM AND PAPER,2000-01,0.0,44.94772745901639,0.0
31,DYE-STUFFS,2000-01,1.05,44.94772745901639,47.19511383196721
32,DRUGS & PHARMACEUTICALS,2000-01,35.94,44.94772745901639,1615.421324877049
33,TEXTILES,2000-01,2.06,44.94772745901639,92.59231856557376
34,PAPER AND PULP,2000-01,60.04,44.94772745901639,2698.6615566393443
35,SUGAR,2000-01,0.0,44.94772745901639,0.0
36,FERMENTATION INDUSTRIES,2000-01,16.02,44.94772745901639,720.0625938934426
37,FOOD PROCESSING INDUSTRIES,2000-01,45.75,44.94772745901639,2056.35853125
38,VEGETABLE OILS AND VANASPATI,2000-01,0.0,44.94772745901639,0.0
39,"SOAPS, COSMETICS & TOILET PREPARATIONS",2000-01,0.0,44.94772745901639,0.0
40,RUBBER GOODS,2000-01,0.1,44.94772745901639,4.494772745901639
41,"LEATHER,LEATHER GOODS AND PICKERS",2000-01,9.75,44.94772745901639,438.24034272540985
42,GLUE AND GELATIN,2000-01,0.0,44.94772745901639,0.0
43,GLASS,2000-01,33.87,44.94772745901639,1522.379529036885
44,CERAMICS,2000-01,4.03,44.94772745901639,181.13934165983608
45,CEMENT AND GYPSUM PRODUCTS,2000-01,67.72,44.94772745901639,3043.86010352459
46,TIMBER PRODUCTS,2000-01,0.0,44.94772745901639,0.0
47,DEFENCE INDUSTRIES,2000-01,0.0,44.94772745901639,0.0
48,CONSULTANCY SERVICES,2000-01,4.25,44.94772745901639,191.02784170081966
49,SERVICES SECTOR,2000-01,71.38,44.94772745901639,3208.36878602459
50,HOSPITAL & DIAGNOSTIC CENTRES,2000-01,0.0,44.94772745901639,0.0
51,EDUCATION,2000-01,0.0,44.94772745901639,0.0
52,HOTEL & TOURISM,2000-01,13.2,44.94772745901639,593.3100024590163
53,TRADING,2000-01,11.49,44.94772745901639,516.4493885040984
54,RETAIL TRADING,2000-01,0.0,44.94772745901639,0.0
55,AGRICULTURE SERVICES,2000-01,17.52,44.94772745901639,787.4841850819672
56,"DIAMOND,GOLD ORNAMENTS",2000-01,18.83,44.94772745901639,846.3657080532786
57,TEA AND COFFEE,2000-01,20.23,44.94772745901639,909.2925264959016
58,PRINTING OF BOOKS,2000-01,0.0,44.94772745901639,0.0
59,COIR,2000-01,0.0,44.94772745901639,0.0
60,CONSTRUCTION,2000-01,0.0,44.94772745901639,0.0
61,CONSTRUCTION DEVELOPMENT,2000-01,24.33,44.94772745901639,1093.5782090778687
62,MISCELLANEOUS INDUSTRIES,2000-01,832.07,44.94772745901639,37399.65558682377
63,METALLURGICAL INDUSTRIES,2001-02,14.14,47.18836820083682,667.2435263598327
64,MINING,2001-02,6.52,47.18836820083682,307.66816066945603
65,POWER,2001-02,757.44,47.18836820083682,35742.35761004184
66,NON-CONVENTIONAL ENERGY,2001-02,0.0,47.18836820083682,0.0
67,COAL PRODUCTION,2001-02,0.0,47.18836820083682,0.0
68,PETROLEUM & NATURAL GAS,2001-02,211.07,47.18836820083682,9960.048876150628
69,BOILERS AND STEAM GENERATING PLANTS,2001-02,0.0,47.18836820083682,0.0
70,PRIME MOVER,2001-02,0.0,47.18836820083682,0.0
71,ELECTRICAL EQUIPMENTS,2001-02,65.76,47.18836820083682,3103.1070928870295
72,COMPUTER SOFTWARE & HARDWARE,2001-02,419.39,47.18836820083682,19790.32973974895
73,ELECTRONICS,2001-02,12.47,47.18836820083682,588.4389514644351
74,TELECOMMUNICATIONS,2001-02,873.23,47.18836820083682,41206.298764016734
75,INFORMATION & BROADCASTING,2001-02,4.54,47.18836820083682,214.23519163179915
76,AUTOMOBILE INDUSTRY,2001-02,235.76,47.18836820083682,11125.129687029288
77,AIR TRANSPORT,2001-02,0.0,47.18836820083682,0.0
78,SEA TRANSPORT,2001-02,19.81,47.18836820083682,934.8015740585773
79,PORTS,2001-02,15.48,47.18836820083682,730.475939748954
80,RAILWAY RELATED COMPONENTS,2001-02,0.0,47.18836820083682,0.0
81,INDUSTRIAL MACHINERY,2001-02,32.04,47.18836820083682,1511.9153171548116
82,MACHINE TOOLS,2001-02,4.31,47.18836820083682,203.38186694560667
83,AGRICULTURAL MACHINERY,2001-02,1.04,47.18836820083682,49.07590292887029
84,EARTH-MOVING MACHINERY,2001-02,0.11,47.18836820083682,5.19072050209205
85,MISCELLANEOUS MECHANICAL & ENGINEERING INDUSTRIES,2001-02,61.4,47.18836820083682,2897.3658075313806
86,"COMMERCIAL, OFFICE & HOUSEHOLD EQUIPMENTS",2001-02,4.87,47.18836820083682,229.8073531380753
87,MEDICAL AND SURGICAL APPLIANCES,2001-02,42.35,47.18836820083682,1998.4273933054394
88,INDUSTRIAL INSTRUMENTS,2001-02,5.07,47.18836820083682,239.2450267782427
89,SCIENTIFIC INSTRUMENTS,2001-02,2.33,47.18836820083682,109.9488979079498
90,"MATHEMATICAL,SURVEYING AND DRAWING INSTRUMENTS",2001-02,0.0,47.18836820083682,0.0
91,FERTILIZERS,2001-02,0.0,47.18836820083682,0.0
92,CHEMICALS,2001-02,87.23,47.18836820083682,4116.241358158996
93,PHOTOGRAPHIC RAW FILM AND PAPER,2001-02,0.0,47.18836820083682,0.0
94,DYE-STUFFS,2001-02,0.18,47.18836820083682,8.493906276150627
